# ts arm pink_status x y z qx qy qz qw base_x base_y base_yaw j1 j2 j3 j4 j5 j6 j7 pos_err ori_err iters
1776409341.019133 jaka_arm_left success 0.186093 0.298311 -0.410390 0.590932 0.342347 0.364701 0.632922 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 4.142599e-04 2.759474e-04 3
1776409341.027394 jaka_arm_left success 0.186114 0.298316 -0.410396 0.590842 0.342360 0.364545 0.633089 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 4.110034e-04 3.785637e-04 1
1776409341.035721 jaka_arm_left success 0.186143 0.298324 -0.410412 0.590815 0.342278 0.364421 0.633230 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 4.158246e-04 6.978905e-04 1
1776409341.044033 jaka_arm_left success 0.186164 0.298406 -0.410424 0.591150 0.342173 0.364422 0.632973 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 4.371477e-04 5.531471e-04 1
1776409341.052383 jaka_arm_left success 0.186192 0.298421 -0.410442 0.591357 0.342078 0.364257 0.632927 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 4.517841e-04 1.112778e-03 1
1776409341.060760 jaka_arm_left success 0.186263 0.298387 -0.410460 0.591398 0.341951 0.364159 0.633013 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 4.509746e-04 1.403717e-03 1
1776409341.069067 jaka_arm_left success 0.186281 0.298327 -0.410529 0.591490 0.341871 0.363762 0.633199 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 5.087590e-04 2.180599e-03 1
1776409341.077378 jaka_arm_left success 0.186338 0.298309 -0.410557 0.591813 0.341789 0.363679 0.632989 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 5.383098e-04 2.679822e-03 1
1776409341.085648 jaka_arm_left success 0.186434 0.298324 -0.410575 0.592134 0.341529 0.364011 0.632638 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 5.749123e-04 3.095819e-03 1
1776409341.094162 jaka_arm_left success 0.186521 0.298180 -0.410623 0.592020 0.341654 0.363917 0.632731 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 6.540656e-04 2.847833e-03 1
1776409341.102440 jaka_arm_left success 0.186565 0.298002 -0.410693 0.591899 0.342064 0.363817 0.632682 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 7.789610e-04 2.517375e-03 1
1776409341.110734 jaka_arm_left success 0.186620 0.297848 -0.410759 0.591818 0.342359 0.363571 0.632738 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 9.181193e-04 2.674713e-03 1
1776409341.119176 jaka_arm_left success 0.186577 0.297900 -0.410784 0.592937 0.342470 0.363742 0.631531 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 9.005520e-04 5.155357e-03 1
1776409341.127403 jaka_arm_left success 0.186626 0.297892 -0.410815 0.593405 0.342271 0.363890 0.631114 +0.000000 -0.000083 +0.000000 -1.029612 +1.325724 +1.037373 -1.107933 +0.728387 -1.470736 +0.751247 9.469209e-04 6.268336e-03 1
1776409341.135756 jaka_arm_left success 0.186634 0.297837 -0.410867 0.593643 0.342455 0.363864 0.630806 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 5.666642e-06 6.098714e-06 2
1776409341.144072 jaka_arm_left success 0.186714 0.297876 -0.410917 0.594064 0.342178 0.364127 0.630408 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 1.035025e-04 1.385864e-03 1
1776409341.152484 jaka_arm_left success 0.186775 0.297857 -0.410953 0.594097 0.342233 0.364097 0.630364 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 1.678110e-04 1.419961e-03 1
1776409341.160834 jaka_arm_left success 0.186837 0.297848 -0.411002 0.594164 0.342100 0.363842 0.630520 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 2.456912e-04 1.382720e-03 1
1776409341.169182 jaka_arm_left success 0.186875 0.297846 -0.411037 0.594337 0.342031 0.363548 0.630563 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 2.968557e-04 1.809214e-03 1
1776409341.177397 jaka_arm_left success 0.186934 0.297872 -0.411060 0.594436 0.341824 0.363543 0.630586 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 3.599689e-04 2.168114e-03 1
1776409341.185744 jaka_arm_left success 0.186901 0.297848 -0.411100 0.594220 0.342393 0.363267 0.630640 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 3.568673e-04 1.698283e-03 1
1776409341.194162 jaka_arm_left success 0.186912 0.297857 -0.411139 0.594263 0.342371 0.363163 0.630671 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 3.920527e-04 1.898734e-03 1
1776409341.202411 jaka_arm_left success 0.186965 0.297866 -0.411167 0.594255 0.342155 0.362857 0.630972 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 4.500686e-04 2.453525e-03 1
1776409341.210680 jaka_arm_left success 0.186983 0.297866 -0.411182 0.594233 0.342170 0.362739 0.631052 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 4.734224e-04 2.649038e-03 1
1776409341.219249 jaka_arm_left success 0.186991 0.297868 -0.411202 0.594223 0.342165 0.362743 0.631062 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 4.930373e-04 2.639331e-03 1
1776409341.227478 jaka_arm_left success 0.186994 0.297897 -0.411203 0.594351 0.342143 0.362533 0.631074 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 4.985354e-04 3.124645e-03 1
1776409341.235870 jaka_arm_left success 0.187018 0.297926 -0.411213 0.594433 0.342032 0.362301 0.631191 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 5.268325e-04 3.683723e-03 1
1776409341.244147 jaka_arm_left success 0.187069 0.297961 -0.411224 0.594443 0.341887 0.361959 0.631456 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 5.783129e-04 4.477259e-03 1
1776409341.252497 jaka_arm_left success 0.187087 0.297945 -0.411245 0.594300 0.342073 0.362039 0.631444 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 6.019346e-04 4.153854e-03 1
1776409341.260761 jaka_arm_left success 0.187090 0.297992 -0.411270 0.594379 0.341959 0.361820 0.631556 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 6.302244e-04 4.701441e-03 1
1776409341.269143 jaka_arm_left success 0.187099 0.298015 -0.411296 0.594317 0.342013 0.361794 0.631601 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 6.595499e-04 4.717878e-03 1
1776409341.277372 jaka_arm_left success 0.187123 0.298015 -0.411341 0.594136 0.342026 0.361866 0.631723 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 7.063595e-04 4.586016e-03 1
1776409341.285783 jaka_arm_left success 0.187149 0.298038 -0.411372 0.594035 0.342029 0.361698 0.631912 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 7.512353e-04 4.999105e-03 1
1776409341.294159 jaka_arm_left success 0.187166 0.298063 -0.411409 0.593974 0.341989 0.361551 0.632076 +0.001139 -0.001767 -0.000227 -1.026737 +1.322304 +1.036047 -1.108565 +0.730359 -1.468629 +0.751200 7.949231e-04 5.398923e-03 1
